attrs,values
units,"1"
model_var,""
dtime_units,"hour"
level_type,"isobaric"
time_type,"UT"
time_bounds,"[0, 0]"
level,time,dtime,id,lon,lat,neighbour_selection_method,vertical_displacement
0,2000-01-01,0,421,-3.66300011,51.68000031,nearest,52.17224121
0,2000-01-01,0,422,0.80350000,50.96009827,nearest,2.59452295
0,2000-01-01,0,423,-4.43359995,53.36220169,nearest,21.04340363
0,2000-01-01,0,424,-3.65070009,53.38109970,nearest,0.00000000
0,2000-01-01,0,425,-4.20289993,55.29380035,nearest,115.98727417
0,2000-01-01,0,426,6.47489977,48.84550095,nearest,31.66815186
0,2000-01-01,0,427,3.81089997,49.70009995,nearest,-24.21308899
0,2000-01-01,0,428,4.04440022,49.67839813,nearest,33.20727539
0,2000-01-01,0,429,-2.04719996,46.94929886,nearest,10.00000000
0,2000-01-01,0,430,6.51420021,49.17070007,nearest,8.98953247
0,2000-01-01,0,431,0.93580002,49.81209946,nearest,52.83186722
0,2000-01-01,0,432,2.29320002,49.65430069,nearest,-11.00490570
0,2000-01-01,0,433,1.49689996,49.83990097,nearest,26.31147766
0,2000-01-01,0,434,-4.13329983,48.18000031,nearest,30.09527588
0,2000-01-01,0,436,4.19469976,48.89419937,nearest,52.52725983
0,2000-01-01,0,437,-1.45039999,46.41979980,nearest,-8.14707184
0,2000-01-01,0,438,2.06870008,47.00569916,nearest,11.33956909
0,2000-01-01,0,439,1.32939994,47.92919922,nearest,5.80050659
0,2000-01-01,0,440,2.05049992,49.58900070,nearest,8.99351501
0,2000-01-01,0,441,1.25479996,49.95180130,nearest,-55.84152222
0,2000-01-01,0,442,-2.41429996,48.42150116,nearest,-0.46723938
0,2000-01-01,0,443,5.43900013,48.69789886,nearest,31.59027100
0,2000-01-01,0,444,1.90779996,48.16149902,nearest,2.85069275
0,2000-01-01,0,445,0.10980000,45.81760025,nearest,-4.10220337
0,2000-01-01,0,446,-0.93300003,53.61700058,nearest,-0.33606935
0,2000-01-01,0,447,-4.13570023,51.68339920,nearest,-58.10770416
0,2000-01-01,0,448,-3.56620002,51.70320129,nearest,-59.71179199
0,2000-01-01,0,449,-4.96439981,51.79320145,nearest,-21.45615578
0,2000-01-01,0,450,-3.33859992,53.04109955,nearest,16.16940308
0,2000-01-01,0,451,-4.18260002,53.20959854,nearest,1.38704681
0,2000-01-01,0,452,-5.21799994,56.21889877,nearest,66.80847168
0,2000-01-01,0,454,10.27099991,52.17499924,nearest,3.94497681
0,2000-01-01,0,455,10.36400032,52.61700058,nearest,-4.79930115
0,2000-01-01,0,456,9.50000000,53.12599945,nearest,-0.46137619
0,2000-01-01,0,458,-2.25699997,55.90480042,nearest,69.49491882
0,2000-01-01,0,459,-0.47999999,52.24000168,nearest,6.63059235
